,x,y,S_yx,S_xy,ES,Directionality,Delay
79,IWM-gauge-17,IWM-gauge-431,9.0,9.0,0.16363636363636364,0.00909090909090909,1.1111111111111112
80,IWM-gauge-17,IWM-gauge-438,9.0,9.0,0.17647058823529413,0.029411764705882353,1.0
81,IWM-gauge-17,IWM-gauge-440,5.0,5.0,0.10989010989010989,0.054945054945054944,3.2
82,IWM-gauge-17,IWM-gauge-441,5.0,5.0,0.09900990099009901,0.009900990099009901,1.6
83,IWM-gauge-17,IWM-gauge-446,7.0,6.0,0.12871287128712872,0.019801980198019802,1.0
84,IWM-gauge-17,IWM-gauge-455,2.0,2.0,0.044444444444444446,0.022222222222222223,5.0
85,IWM-gauge-17,IWM-gauge-463,0.0,0.0,0.0,0.0,
86,IWM-gauge-17,IWM-gauge-472,1.0,1.0,0.02247191011235955,0.011235955056179775,5.0
87,IWM-gauge-17,IWM-gauge-473,6.0,6.0,0.09375,0.0234375,2.8333333333333335
88,IWM-gauge-17,IWM-gauge-475,1.0,1.0,0.03636363636363636,0.0,0.0
89,IWM-gauge-17,IWM-gauge-486,3.0,3.0,0.05555555555555555,0.018518518518518517,2.3333333333333335
90,IWM-gauge-17,IWM-gauge-490,5.0,5.0,0.09615384615384616,0.038461538461538464,4.0
91,IWM-gauge-17,IWM-gauge-491,4.0,4.0,0.07272727272727272,0.0,1.0
92,IWM-gauge-17,IWM-gauge-494,7.0,7.0,0.12844036697247707,0.027522935779816515,1.8571428571428572
93,IWM-gauge-17,IWM-gauge-503,1.0,1.0,0.03278688524590164,0.0,0.0
94,IWM-gauge-17,IWM-gauge-504,4.0,4.0,0.0898876404494382,-0.033707865168539325,-2.0
95,IWM-gauge-17,IWM-gauge-505,5.0,5.0,0.08264462809917356,0.0,0.2
96,IWM-gauge-17,IWM-gauge-506,1.0,1.0,0.02531645569620253,-0.012658227848101266,-3.0
97,IWM-gauge-17,IWM-gauge-507,0.0,0.0,0.0,0.0,
98,IWM-gauge-17,IWM-gauge-508,2.0,2.0,0.05405405405405406,0.0,0.0
99,IWM-gauge-17,IWM-gauge-510,2.0,2.0,0.05714285714285714,0.0,0.5
100,IWM-gauge-17,IWM-gauge-511,4.0,4.0,0.10256410256410256,0.0,0.25
101,IWM-gauge-17,IWM-gauge-512,3.0,3.0,0.08333333333333333,0.013888888888888888,1.0
102,IWM-gauge-17,IWM-gauge-514,1.0,1.0,0.022727272727272728,-0.011363636363636364,-4.0
103,IWM-gauge-17,IWM-gauge-515,2.0,2.0,0.07142857142857142,0.017857142857142856,1.0
104,IWM-gauge-17,IWM-gauge-516,6.0,7.0,0.11607142857142858,-0.017857142857142856,-2.3333333333333335
105,IWM-gauge-17,IWM-gauge-517,4.0,4.0,0.09523809523809523,0.0,0.0
106,IWM-gauge-17,IWM-gauge-526,0.0,0.0,0.0,0.0,
107,IWM-gauge-17,IWM-gauge-527,3.0,3.0,0.07228915662650602,0.0,1.0
108,IWM-gauge-17,IWM-gauge-530,1.0,1.0,0.024390243902439025,-0.012195121951219513,-2.0
109,IWM-gauge-17,IWM-gauge-532,4.0,4.0,0.0975609756097561,0.0,0.5
110,IWM-gauge-17,IWM-gauge-538,12.0,13.0,0.22321428571428573,0.017857142857142856,1.1818181818181819
111,IWM-gauge-17,IWM-gauge-542,7.0,7.0,0.125,0.008928571428571428,0.42857142857142855
112,IWM-gauge-17,IWM-gauge-549,4.0,4.0,0.07017543859649122,0.017543859649122806,1.25
113,IWM-gauge-17,IWM-gauge-551,7.0,6.0,0.15476190476190477,0.011904761904761904,0.8333333333333334
114,IWM-gauge-17,IWM-gauge-552,0.0,0.0,0.0,0.0,
115,IWM-gauge-17,IWM-gauge-556,5.0,5.0,0.11494252873563218,0.0,0.4
116,IWM-gauge-17,IWM-gauge-560,6.0,6.0,0.12,0.02,2.0
117,IWM-gauge-17,IWM-gauge-580,5.0,5.0,0.15384615384615385,0.015384615384615385,0.8
118,IWM-gauge-17,IWM-gauge-598,3.0,3.0,0.06382978723404255,0.010638297872340425,1.0
119,IWM-gauge-17,IWM-gauge-603,11.0,9.0,0.273972602739726,0.1232876712328767,2.3333333333333335
120,IWM-gauge-17,IWM-gauge-609,6.0,6.0,0.13636363636363635,0.06818181818181818,4.666666666666667
121,IWM-gauge-17,IWM-gauge-612,6.0,6.0,0.1791044776119403,0.029850746268656716,0.6666666666666666
122,IWM-gauge-17,IWM-gauge-628,3.0,3.0,0.07317073170731707,0.036585365853658534,4.333333333333333
123,IWM-gauge-17,IWM-gauge-640,1.0,1.0,0.04081632653061224,0.02040816326530612,1.0
124,IWM-gauge-17,IWM-gauge-642,7.0,7.0,0.18181818181818182,0.07792207792207792,2.5714285714285716
125,IWM-gauge-17,IWM-gauge-652,0.0,0.0,0.0,0.0,
126,IWM-gauge-17,IWM-gauge-653,9.0,10.0,0.1743119266055046,0.05504587155963303,2.9
127,IWM-gauge-17,IWM-gauge-654,2.0,2.0,0.04878048780487805,0.024390243902439025,3.0
128,IWM-gauge-17,IWM-gauge-678,2.0,2.0,0.05714285714285714,0.02857142857142857,4.5
129,IWM-gauge-17,IWM-gauge-684,2.0,2.0,0.05405405405405406,0.02702702702702703,3.0
130,IWM-gauge-17,IWM-gauge-686,3.0,3.0,0.12244897959183673,0.0,0.3333333333333333
131,IWM-gauge-17,IWM-gauge-697,5.0,5.0,0.09523809523809523,0.0,0.4
132,IWM-gauge-17,IWM-gauge-699,6.0,6.0,0.11650485436893204,0.038834951456310676,2.3333333333333335
133,IWM-gauge-17,IWM-gauge-707,8.0,8.0,0.18181818181818182,0.022727272727272728,0.875
134,IWM-gauge-17,IWM-gauge-710,5.0,5.0,0.0847457627118644,-0.00847457627118644,-0.4
135,IWM-gauge-17,IWM-gauge-739,6.0,6.0,0.10810810810810811,0.036036036036036036,3.1666666666666665
136,IWM-gauge-17,IWM-gauge-742,4.0,4.0,0.07272727272727272,0.01818181818181818,1.25
137,IWM-gauge-17,IWM-gauge-755,5.0,5.0,0.11235955056179775,0.033707865168539325,1.6
138,IWM-gauge-17,IWM-gauge-756,3.0,3.0,0.061855670103092786,0.010309278350515464,1.3333333333333333
