,x,y,S_yx,S_xy,ES,Directionality,Delay
23,IWM-gauge-17,IWM-gauge-124,25.0,24.0,0.31210191082802546,0.012738853503184714,-0.2727272727272727
24,IWM-gauge-17,IWM-gauge-125,21.0,20.0,0.24550898203592814,0.011976047904191617,0.3684210526315789
25,IWM-gauge-17,IWM-gauge-130,30.0,32.0,0.24701195219123506,0.0,0.3103448275862069
26,IWM-gauge-17,IWM-gauge-134,33.0,33.0,0.2894736842105263,0.07017543859649122,1.903225806451613
27,IWM-gauge-17,IWM-gauge-135,30.0,30.0,0.24896265560165975,0.004149377593360996,0.03333333333333333
28,IWM-gauge-17,IWM-gauge-138,23.0,23.0,0.2062780269058296,0.03587443946188341,1.0
29,IWM-gauge-17,IWM-gauge-139,26.0,26.0,0.22127659574468084,0.01276595744680851,0.5416666666666666
30,IWM-gauge-17,IWM-gauge-142,35.0,35.0,0.2845528455284553,0.0,0.21212121212121213
31,IWM-gauge-17,IWM-gauge-143,26.0,26.0,0.20883534136546184,0.03614457831325301,0.6923076923076923
32,IWM-gauge-17,IWM-gauge-147,26.0,26.0,0.22317596566523606,0.017167381974248927,0.6
33,IWM-gauge-17,IWM-gauge-149,20.0,20.0,0.16877637130801687,0.016877637130801686,0.3684210526315789
34,IWM-gauge-17,IWM-gauge-152,35.0,34.0,0.2816326530612245,0.024489795918367346,0.4411764705882353
35,IWM-gauge-17,IWM-gauge-153,29.0,27.0,0.22580645161290322,-0.024193548387096774,-1.2962962962962963
36,IWM-gauge-17,IWM-gauge-155,34.0,34.0,0.26053639846743293,0.01532567049808429,0.5454545454545454
37,IWM-gauge-17,IWM-gauge-158,31.0,31.0,0.256198347107438,0.02066115702479339,0.6071428571428571
38,IWM-gauge-17,IWM-gauge-164,14.0,14.0,0.1590909090909091,-0.028409090909090908,-0.8461538461538461
39,IWM-gauge-17,IWM-gauge-196,17.0,17.0,0.15246636771300448,0.008968609865470852,0.5882352941176471
40,IWM-gauge-17,IWM-gauge-198,21.0,20.0,0.19523809523809524,0.0,0.15789473684210525
41,IWM-gauge-17,IWM-gauge-281,15.0,15.0,0.13574660633484162,-0.013574660633484163,-0.5333333333333333
42,IWM-gauge-17,IWM-gauge-301,14.0,14.0,0.15300546448087432,-0.01639344262295082,-1.0
43,IWM-gauge-17,IWM-gauge-302,10.0,11.0,0.11229946524064172,-0.0053475935828877,0.18181818181818182
44,IWM-gauge-17,IWM-gauge-303,18.0,21.0,0.2215909090909091,-0.022727272727272728,-0.25
45,IWM-gauge-17,IWM-gauge-305,29.0,30.0,0.25213675213675213,-0.008547008547008548,0.14285714285714285
46,IWM-gauge-17,IWM-gauge-308,30.0,30.0,0.23529411764705882,-0.00784313725490196,-0.4827586206896552
47,IWM-gauge-17,IWM-gauge-309,22.0,21.0,0.18614718614718614,0.017316017316017316,0.2857142857142857
48,IWM-gauge-17,IWM-gauge-315,30.0,30.0,0.23529411764705882,-0.00784313725490196,-0.4827586206896552
49,IWM-gauge-17,IWM-gauge-317,23.0,25.0,0.19753086419753085,-0.00411522633744856,-0.16666666666666666
50,IWM-gauge-17,IWM-gauge-318,24.0,25.0,0.21973094170403587,0.03139013452914798,1.0416666666666667
51,IWM-gauge-17,IWM-gauge-320,23.0,23.0,0.3382352941176471,0.022058823529411766,-0.043478260869565216
52,IWM-gauge-17,IWM-gauge-323,18.0,19.0,0.3490566037735849,0.02830188679245283,0.9473684210526315
53,IWM-gauge-17,IWM-gauge-324,34.0,32.0,0.29464285714285715,-0.017857142857142856,-0.09375
54,IWM-gauge-17,IWM-gauge-326,33.0,33.0,0.26506024096385544,-0.004016064257028112,0.1935483870967742
55,IWM-gauge-17,IWM-gauge-345,21.0,21.0,0.3230769230769231,0.06923076923076923,0.9
56,IWM-gauge-17,IWM-gauge-349,21.0,21.0,0.20388349514563106,0.07766990291262135,2.65
57,IWM-gauge-17,IWM-gauge-354,38.0,36.0,0.3008130081300813,-0.016260162601626018,-0.5428571428571428
58,IWM-gauge-17,IWM-gauge-360,39.0,39.0,0.3577981651376147,-0.06422018348623854,-1.35
59,IWM-gauge-17,IWM-gauge-363,37.0,36.0,0.3133047210300429,0.017167381974248927,0.21212121212121213
60,IWM-gauge-17,IWM-gauge-364,25.0,26.0,0.21610169491525424,0.00423728813559322,-0.16666666666666666
61,IWM-gauge-17,IWM-gauge-369,33.0,34.0,0.3116279069767442,0.009302325581395349,0.34375
62,IWM-gauge-17,IWM-gauge-376,41.0,39.0,0.36199095022624433,0.02262443438914027,0.23684210526315788
